AvantiSensor1_ORIENT_W1,AvantiSensor1_ORIENT_X1,AvantiSensor1_ORIENT_Y1,AvantiSensor1_ORIENT_Z1,AvantiSensor2_ORIENT_W2,AvantiSensor2_ORIENT_X2,AvantiSensor2_ORIENT_Y2,AvantiSensor2_ORIENT_Z2
0.801111042,-0.076428026,-0.556413174,-0.206843898,0.56860131,0.015736306,-0.82238096,-0.011602031
0.801106036,-0.076362371,-0.55639106,-0.20694676,0.569142401,0.016301397,-0.822002649,-0.011089004
0.801252007,-0.076315001,-0.556200445,-0.206911504,0.569570243,0.017157078,-0.821694016,-0.010692323
0.801329076,-0.07636366,-0.555968523,-0.207217902,0.570117056,0.017116783,-0.821311951,-0.010970335
0.801557779,-0.076065861,-0.555689394,-0.207192183,0.570429802,0.016657265,-0.821100652,-0.0112429
0.801698089,-0.075915843,-0.555518627,-0.207161829,0.570337355,0.016323313,-0.821171045,-0.011262893
0.801659167,-0.076220371,-0.555412292,-0.207485512,0.570334196,0.016758909,-0.821168661,-0.010965437
0.801713526,-0.076399975,-0.555256248,-0.207626849,0.570797026,0.01736071,-0.820836127,-0.010848087
0.801840544,-0.076117977,-0.555183113,-0.207435489,0.571355999,0.017097438,-0.820449233,-0.0110964
0.801948309,-0.075918078,-0.555074155,-0.207384348,0.571646869,0.016937258,-0.820245743,-0.011405094
0.802001119,-0.075831585,-0.554990292,-0.207435593,0.571550727,0.016998161,-0.820312142,-0.011357284
0.801983893,-0.075827077,-0.555006862,-0.207459822,0.571134448,0.016913632,-0.820609212,-0.010961358
0.801874638,-0.076021709,-0.555134058,-0.207470343,0.570403457,0.016996553,-0.821118951,-0.010706804
0.801715136,-0.076242946,-0.55537039,-0.207373366,0.570163071,0.017227191,-0.821282029,-0.010643907
0.801635146,-0.076201133,-0.555556417,-0.207199916,0.570205212,0.017047826,-0.821251869,-0.011000312
0.801536679,-0.076185517,-0.555687428,-0.207234949,0.57047224,0.016887084,-0.82106632,-0.011246775
0.801523387,-0.076122649,-0.555699229,-0.2072777,0.571015656,0.016966624,-0.820688486,-0.011126699
0.801594734,-0.076151319,-0.555552185,-0.207385197,0.571283579,0.01718967,-0.820502937,-0.01071255
0.801630616,-0.076189682,-0.555495977,-0.20738335,0.571215451,0.017452415,-0.820548952,-0.010385719
0.801624954,-0.076186195,-0.555532932,-0.207307562,0.571144581,0.017374128,-0.820598781,-0.010478752
0.801604271,-0.076148815,-0.555593848,-0.207237512,0.571183741,0.017032651,-0.820575297,-0.010743554
0.801494837,-0.076232366,-0.555715442,-0.207304433,0.57109499,0.016957905,-0.82063657,-0.010878797
0.801284075,-0.076438814,-0.555907488,-0.207528204,0.570758045,0.017323133,-0.820864618,-0.010786278
0.801145792,-0.076459564,-0.556069851,-0.207619652,0.570825756,0.017537745,-0.820812106,-0.01085416
0.80103898,-0.076279268,-0.556261003,-0.207585901,0.571027219,0.017424088,-0.820674479,-0.01085598
0.80092591,-0.076272301,-0.556427121,-0.207579345,0.570749521,0.017523943,-0.820865929,-0.010819484
0.800698757,-0.076265723,-0.55678463,-0.207498997,0.570322812,0.017704163,-0.821158648,-0.01082023
0.800513744,-0.076223388,-0.557089388,-0.207410708,0.570024014,0.017486094,-0.821370959,-0.010804174
0.800346673,-0.076257885,-0.557355702,-0.207327425,0.569562793,0.017369622,-0.821693301,-0.010806493
0.800117731,-0.076466337,-0.557645619,-0.207354888,0.569361448,0.017536134,-0.821829855,-0.01075187
0.799951077,-0.076536566,-0.557899654,-0.207288668,0.569096506,0.017753361,-0.822008967,-0.010748744
0.7997576,-0.076552905,-0.558222651,-0.207159534,0.568722844,0.017890215,-0.822263837,-0.010799065
0.799667358,-0.076399736,-0.558465719,-0.206908792,0.568760753,0.017595833,-0.822241545,-0.010977008
0.799659252,-0.076368771,-0.558519423,-0.206806719,0.568952739,0.017140001,-0.822117925,-0.011003822
0.79968518,-0.076531559,-0.558415174,-0.206928059,0.569347084,0.017399473,-0.821844518,-0.010616752
0.799905062,-0.076590024,-0.558088064,-0.206938788,0.569932818,0.017831387,-0.821433723,-0.010273978
0.800198495,-0.07650473,-0.557703316,-0.206873015,0.570527077,0.017478602,-0.821029246,-0.010220122
0.8004843,-0.076429926,-0.557327211,-0.206808403,0.570687771,0.016983788,-0.820925474,-0.010414667
0.80062139,-0.076552115,-0.557057023,-0.206961289,0.570585787,0.017037986,-0.820993066,-0.010587184
